2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 94 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 95 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 96 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 97 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 98 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 99 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 100 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 101 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 102 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 103 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 104 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 105 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 106 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 107 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 108 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 109 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 110 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 111 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 112 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 113 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 114 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 115 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 116 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 117 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 118 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 119 failed: 'NoneType' object has no attribute 'has'
