2026-01-04 09:51:53 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching SOL/USDC:USDC 3m...
2026-01-04 09:51:53 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:BLAST/USDC:USDC:3m:100:
2026-01-04 09:51:53 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): BLAST/USDC:USDC 3m (close in 126s)
2026-01-04 09:51:53 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching BLAST/USDC:USDC 3m...
2026-01-04 09:51:53 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:SOL/USDC:USDC:3m:100:
2026-01-04 09:51:53 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): SOL/USDC:USDC 3m (close in 126s)
2026-01-04 09:51:53 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching SOL/USDC:USDC 3m...
2026-01-04 09:51:54 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:BTC/USDC:USDC:3m:100:
2026-01-04 09:51:54 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): BTC/USDC:USDC 3m (close in 126s)
2026-01-04 09:51:54 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching BTC/USDC:USDC 3m...
2026-01-04 09:51:54 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:ETH/USDC:USDC:3m:100:
2026-01-04 09:51:54 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): ETH/USDC:USDC 3m (close in 125s)
2026-01-04 09:51:54 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching ETH/USDC:USDC 3m...
2026-01-04 09:51:55 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:BTC/USDC:USDC:3m:100:
2026-01-04 09:51:55 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): BTC/USDC:USDC 3m (close in 125s)
2026-01-04 09:51:55 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching BTC/USDC:USDC 3m...
2026-01-04 09:51:55 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:BTC/USDC:USDC:3m:100:
2026-01-04 09:51:55 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): BTC/USDC:USDC 3m (close in 125s)
2026-01-04 09:51:55 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching BTC/USDC:USDC 3m...
2026-01-04 09:51:57 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:ETH/USDC:USDC:3m:100:
2026-01-04 09:51:57 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): ETH/USDC:USDC 3m (close in 123s)
2026-01-04 09:51:57 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching ETH/USDC:USDC 3m...
2026-01-04 09:51:58 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:BLAST/USDC:USDC:3m:100:
2026-01-04 09:51:58 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): BLAST/USDC:USDC 3m (close in 121s)
2026-01-04 09:51:58 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching BLAST/USDC:USDC 3m...
2026-01-04 09:51:58 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:BTC/USDC:USDC:3m:100:
2026-01-04 09:51:58 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): BTC/USDC:USDC 3m (close in 121s)
2026-01-04 09:51:58 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching BTC/USDC:USDC 3m...
2026-01-04 09:51:59 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:BTC/USDC:USDC:3m:100:
2026-01-04 09:51:59 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): BTC/USDC:USDC 3m (close in 120s)
2026-01-04 09:51:59 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching BTC/USDC:USDC 3m...
2026-01-04 09:51:59 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:ETH/USDC:USDC:3m:100:
2026-01-04 09:51:59 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): ETH/USDC:USDC 3m (close in 120s)
